sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 1.3,logistic_regression,0.7945 ± 0.0052,0.6642 ± 0.0034,0.7235 ± 0.0039,0.7548 ± 0.0036,0.7548 ± 0.0036,0.0141 ± 0.0090,0.9653 ± 0.0220,0.0149 ± 0.0081
HC with fairness constraints and same size as original dataset lambda = 1.3,random_forest,0.7394 ± 0.0052,0.6895 ± 0.0083,0.7136 ± 0.0062,0.7354 ± 0.0052,0.7354 ± 0.0052,0.0274 ± 0.0096,0.9402 ± 0.0206,0.0283 ± 0.0066
HC with fairness constraints and same size as original dataset lambda = 1.3,xgboost,0.7857 ± 0.0036,0.6925 ± 0.0071,0.7361 ± 0.0051,0.7613 ± 0.0040,0.7613 ± 0.0040,0.0263 ± 0.0065,0.9389 ± 0.0146,0.0285 ± 0.0081
HC with fairness constraints and same size as original dataset lambda = 1.3,mlp,0.6966 ± 0.0166,0.6874 ± 0.0280,0.6913 ± 0.0078,0.7083 ± 0.0054,0.7083 ± 0.0054,0.0238 ± 0.0164,0.9492 ± 0.0359,0.0349 ± 0.0169
HC with fairness constraints and double the size of original dataset lambda = 1.3,logistic_regression,0.8313 ± 0.0017,0.6719 ± 0.0006,0.7431 ± 0.0008,0.7740 ± 0.0008,0.7740 ± 0.0008,0.1180 ± 0.0015,0.7345 ± 0.0034,0.0918 ± 0.0017
HC with fairness constraints and double the size of original dataset lambda = 1.3,random_forest,0.7625 ± 0.0048,0.6846 ± 0.0047,0.7215 ± 0.0041,0.7454 ± 0.0037,0.7454 ± 0.0037,0.1059 ± 0.0099,0.7799 ± 0.0189,0.0807 ± 0.0083
HC with fairness constraints and double the size of original dataset lambda = 1.3,xgboost,0.8074 ± 0.0024,0.6738 ± 0.0068,0.7346 ± 0.0041,0.7639 ± 0.0028,0.7639 ± 0.0028,0.1157 ± 0.0084,0.7462 ± 0.0143,0.0815 ± 0.0075
HC with fairness constraints and double the size of original dataset lambda = 1.3,mlp,0.7210 ± 0.0095,0.6861 ± 0.0140,0.7029 ± 0.0045,0.7223 ± 0.0033,0.7223 ± 0.0033,0.0915 ± 0.0159,0.8171 ± 0.0289,0.0818 ± 0.0191
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,logistic_regression,0.8175 ± 0.0009,0.6870 ± 0.0010,0.7466 ± 0.0005,0.7738 ± 0.0004,0.7738 ± 0.0004,0.1214 ± 0.0021,0.7369 ± 0.0041,0.0821 ± 0.0019
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,random_forest,0.7265 ± 0.0051,0.6916 ± 0.0052,0.7086 ± 0.0038,0.7275 ± 0.0036,0.7275 ± 0.0036,0.1041 ± 0.0172,0.7947 ± 0.0288,0.0759 ± 0.0156
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,xgboost,0.7770 ± 0.0039,0.6838 ± 0.0029,0.7274 ± 0.0027,0.7527 ± 0.0026,0.7527 ± 0.0026,0.1057 ± 0.0045,0.7761 ± 0.0089,0.0850 ± 0.0051
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,mlp,0.6815 ± 0.0097,0.6908 ± 0.0293,0.6856 ± 0.0115,0.6985 ± 0.0061,0.6985 ± 0.0061,0.0827 ± 0.0431,0.8484 ± 0.0711,0.0874 ± 0.0321
HC with fairness constraints and equal number of protected attribute lambda = 1.3,logistic_regression,0.8317 ± 0.0022,0.6793 ± 0.0028,0.7478 ± 0.0015,0.7772 ± 0.0011,0.7772 ± 0.0011,0.1271 ± 0.0022,0.7193 ± 0.0038,0.0818 ± 0.0022
HC with fairness constraints and equal number of protected attribute lambda = 1.3,random_forest,0.7548 ± 0.0035,0.6801 ± 0.0023,0.7155 ± 0.0018,0.7397 ± 0.0019,0.7397 ± 0.0019,0.1111 ± 0.0052,0.7709 ± 0.0091,0.0734 ± 0.0045
HC with fairness constraints and equal number of protected attribute lambda = 1.3,xgboost,0.8088 ± 0.0049,0.6748 ± 0.0040,0.7357 ± 0.0023,0.7649 ± 0.0021,0.7649 ± 0.0021,0.1146 ± 0.0091,0.7482 ± 0.0167,0.0874 ± 0.0087
HC with fairness constraints and equal number of protected attribute lambda = 1.3,mlp,0.7072 ± 0.0077,0.6813 ± 0.0205,0.6938 ± 0.0091,0.7124 ± 0.0054,0.7124 ± 0.0054,0.1041 ± 0.0173,0.7972 ± 0.0271,0.0588 ± 0.0182
