sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 23.0,xgboost,0.5934 ± 0.0068,0.7664 ± 0.0228,0.6687 ± 0.0104,0.5691 ± 0.0095,0.5691 ± 0.0095,0.1304 ± 0.0252,0.8350 ± 0.0283,0.1535 ± 0.0282
HC with fairness constraints and same size as original dataset lambda = 23.0,mlp,0.5834 ± 0.0071,0.7241 ± 0.0350,0.6458 ± 0.0142,0.5528 ± 0.0094,0.5528 ± 0.0094,0.0611 ± 0.0132,0.9153 ± 0.0150,0.0774 ± 0.0266
HC with fairness constraints and double the size of original dataset lambda = 23.0,logistic_regression,0.5884 ± 0.0025,0.8369 ± 0.0069,0.6910 ± 0.0031,0.5685 ± 0.0037,0.5685 ± 0.0037,0.2282 ± 0.0061,0.7528 ± 0.0069,0.2870 ± 0.0105
HC with fairness constraints and double the size of original dataset lambda = 23.0,random_forest,0.5830 ± 0.0061,0.7021 ± 0.0181,0.6370 ± 0.0106,0.5509 ± 0.0086,0.5509 ± 0.0086,0.1757 ± 0.0554,0.7751 ± 0.0602,0.1816 ± 0.0636
HC with fairness constraints and double the size of original dataset lambda = 23.0,xgboost,0.5788 ± 0.0033,0.7548 ± 0.0159,0.6551 ± 0.0063,0.5489 ± 0.0046,0.5489 ± 0.0046,0.2163 ± 0.0348,0.7466 ± 0.0357,0.2397 ± 0.0323
HC with fairness constraints and double the size of original dataset lambda = 23.0,mlp,0.5766 ± 0.0050,0.7137 ± 0.0208,0.6377 ± 0.0097,0.5435 ± 0.0068,0.5435 ± 0.0068,0.1226 ± 0.0445,0.8388 ± 0.0549,0.1324 ± 0.0464
HC with fairness constraints and equal number of class 1 and class 0 lambda = 23.0,logistic_regression,0.6190 ± 0.0108,0.6164 ± 0.0196,0.6175 ± 0.0108,0.5811 ± 0.0106,0.5811 ± 0.0106,0.4745 ± 0.0504,0.4436 ± 0.0491,0.4968 ± 0.0393
HC with fairness constraints and equal number of class 1 and class 0 lambda = 23.0,random_forest,0.6095 ± 0.0108,0.6226 ± 0.0260,0.6157 ± 0.0148,0.5727 ± 0.0119,0.5727 ± 0.0119,0.1533 ± 0.0306,0.7674 ± 0.0399,0.1785 ± 0.0257
HC with fairness constraints and equal number of class 1 and class 0 lambda = 23.0,xgboost,0.5928 ± 0.0145,0.6390 ± 0.0446,0.6146 ± 0.0276,0.5576 ± 0.0193,0.5576 ± 0.0193,0.1420 ± 0.0632,0.7985 ± 0.0834,0.1634 ± 0.0718
HC with fairness constraints and equal number of class 1 and class 0 lambda = 23.0,mlp,0.5862 ± 0.0156,0.5128 ± 0.0733,0.5441 ± 0.0431,0.5397 ± 0.0134,0.5397 ± 0.0134,0.1193 ± 0.0586,0.7832 ± 0.1033,0.1254 ± 0.0604
HC with fairness constraints and equal number of protected attribute lambda = 23.0,logistic_regression,0.6190 ± 0.0108,0.6164 ± 0.0196,0.6175 ± 0.0108,0.5811 ± 0.0106,0.5811 ± 0.0106,0.4745 ± 0.0504,0.4436 ± 0.0491,0.4968 ± 0.0393
HC with fairness constraints and equal number of protected attribute lambda = 23.0,random_forest,0.6095 ± 0.0108,0.6226 ± 0.0260,0.6157 ± 0.0148,0.5727 ± 0.0119,0.5727 ± 0.0119,0.1533 ± 0.0306,0.7674 ± 0.0399,0.1785 ± 0.0257
HC with fairness constraints and equal number of protected attribute lambda = 23.0,xgboost,0.5928 ± 0.0145,0.6390 ± 0.0446,0.6146 ± 0.0276,0.5576 ± 0.0193,0.5576 ± 0.0193,0.1420 ± 0.0632,0.7985 ± 0.0834,0.1634 ± 0.0718
HC with fairness constraints and equal number of protected attribute lambda = 23.0,mlp,0.5848 ± 0.0130,0.5414 ± 0.0218,0.5618 ± 0.0092,0.5403 ± 0.0116,0.5403 ± 0.0116,0.0853 ± 0.0598,0.8546 ± 0.1006,0.1138 ± 0.0513
HC with fairness constraints and same size as original dataset lambda = 24.0,logistic_regression,0.6584 ± 0.0044,0.7461 ± 0.0092,0.6995 ± 0.0029,0.6416 ± 0.0036,0.6416 ± 0.0036,0.1814 ± 0.0095,0.7534 ± 0.0106,0.2583 ± 0.0215
HC with fairness constraints and same size as original dataset lambda = 24.0,random_forest,0.6341 ± 0.0019,0.6792 ± 0.0117,0.6558 ± 0.0059,0.6052 ± 0.0030,0.6052 ± 0.0030,0.1491 ± 0.0233,0.7813 ± 0.0300,0.1364 ± 0.0251
HC with fairness constraints and same size as original dataset lambda = 24.0,xgboost,0.6382 ± 0.0066,0.6854 ± 0.0144,0.6609 ± 0.0083,0.6103 ± 0.0075,0.6103 ± 0.0075,0.1766 ± 0.0116,0.7476 ± 0.0175,0.2014 ± 0.0086
HC with fairness constraints and same size as original dataset lambda = 24.0,mlp,0.6224 ± 0.0049,0.6914 ± 0.0493,0.6541 ± 0.0207,0.5946 ± 0.0054,0.5946 ± 0.0054,0.0920 ± 0.0218,0.8611 ± 0.0333,0.0987 ± 0.0260
HC with fairness constraints and double the size of original dataset lambda = 24.0,logistic_regression,0.6616 ± 0.0025,0.7372 ± 0.0031,0.6974 ± 0.0025,0.6432 ± 0.0029,0.6432 ± 0.0029,0.1966 ± 0.0067,0.7326 ± 0.0068,0.2857 ± 0.0091
HC with fairness constraints and double the size of original dataset lambda = 24.0,random_forest,0.6514 ± 0.0089,0.7179 ± 0.0102,0.6829 ± 0.0008,0.6290 ± 0.0070,0.6290 ± 0.0070,0.1765 ± 0.0184,0.7531 ± 0.0264,0.2136 ± 0.0213
HC with fairness constraints and double the size of original dataset lambda = 24.0,xgboost,0.6577 ± 0.0063,0.7253 ± 0.0186,0.6897 ± 0.0083,0.6368 ± 0.0065,0.6368 ± 0.0065,0.1975 ± 0.0356,0.7297 ± 0.0461,0.2524 ± 0.0338
HC with fairness constraints and double the size of original dataset lambda = 24.0,mlp,0.6556 ± 0.0099,0.6792 ± 0.0431,0.6663 ± 0.0188,0.6259 ± 0.0089,0.6259 ± 0.0089,0.1701 ± 0.0198,0.7472 ± 0.0341,0.1986 ± 0.0256
HC with fairness constraints and equal number of class 1 and class 0 lambda = 24.0,logistic_regression,0.6748 ± 0.0040,0.6622 ± 0.0114,0.6684 ± 0.0071,0.6404 ± 0.0052,0.6404 ± 0.0052,0.2350 ± 0.0170,0.6583 ± 0.0229,0.2828 ± 0.0189
HC with fairness constraints and equal number of class 1 and class 0 lambda = 24.0,random_forest,0.6510 ± 0.0084,0.6378 ± 0.0203,0.6441 ± 0.0095,0.6143 ± 0.0072,0.6143 ± 0.0072,0.1760 ± 0.0361,0.7310 ± 0.0382,0.2296 ± 0.0342
HC with fairness constraints and equal number of class 1 and class 0 lambda = 24.0,xgboost,0.6708 ± 0.0047,0.6554 ± 0.0202,0.6628 ± 0.0099,0.6353 ± 0.0048,0.6353 ± 0.0048,0.2249 ± 0.0180,0.6691 ± 0.0145,0.2833 ± 0.0243
HC with fairness constraints and equal number of class 1 and class 0 lambda = 24.0,mlp,0.6301 ± 0.0106,0.6661 ± 0.0437,0.6466 ± 0.0197,0.5987 ± 0.0095,0.5987 ± 0.0095,0.1701 ± 0.0340,0.7538 ± 0.0348,0.2230 ± 0.0350
HC with fairness constraints and equal number of protected attribute lambda = 24.0,logistic_regression,0.6748 ± 0.0040,0.6622 ± 0.0114,0.6684 ± 0.0071,0.6404 ± 0.0052,0.6404 ± 0.0052,0.2350 ± 0.0170,0.6583 ± 0.0229,0.2828 ± 0.0189
HC with fairness constraints and equal number of protected attribute lambda = 24.0,random_forest,0.6510 ± 0.0084,0.6378 ± 0.0203,0.6441 ± 0.0095,0.6143 ± 0.0072,0.6143 ± 0.0072,0.1760 ± 0.0361,0.7310 ± 0.0382,0.2296 ± 0.0342
HC with fairness constraints and equal number of protected attribute lambda = 24.0,xgboost,0.6708 ± 0.0047,0.6554 ± 0.0202,0.6628 ± 0.0099,0.6353 ± 0.0048,0.6353 ± 0.0048,0.2249 ± 0.0180,0.6691 ± 0.0145,0.2833 ± 0.0243
HC with fairness constraints and equal number of protected attribute lambda = 24.0,mlp,0.6481 ± 0.0091,0.6036 ± 0.0257,0.6247 ± 0.0139,0.6057 ± 0.0086,0.6057 ± 0.0086,0.1816 ± 0.0267,0.7106 ± 0.0311,0.2183 ± 0.0406
HC with fairness constraints and same size as original dataset lambda = 25.0,logistic_regression,0.6440 ± 0.0029,0.8074 ± 0.0079,0.7165 ± 0.0037,0.6368 ± 0.0037,0.6368 ± 0.0037,0.1242 ± 0.0144,0.8376 ± 0.0171,0.1776 ± 0.0180
HC with fairness constraints and same size as original dataset lambda = 25.0,random_forest,0.6204 ± 0.0039,0.7393 ± 0.0083,0.6746 ± 0.0040,0.5992 ± 0.0045,0.5992 ± 0.0045,0.0776 ± 0.0162,0.8895 ± 0.0208,0.1148 ± 0.0171
HC with fairness constraints and same size as original dataset lambda = 25.0,xgboost,0.6302 ± 0.0042,0.7732 ± 0.0128,0.6943 ± 0.0042,0.6153 ± 0.0041,0.6153 ± 0.0041,0.0816 ± 0.0264,0.8872 ± 0.0356,0.1327 ± 0.0397
HC with fairness constraints and same size as original dataset lambda = 25.0,mlp,0.6091 ± 0.0145,0.7661 ± 0.0580,0.6771 ± 0.0135,0.5875 ± 0.0130,0.5875 ± 0.0130,0.0502 ± 0.0314,0.9291 ± 0.0460,0.0945 ± 0.0392
HC with fairness constraints and double the size of original dataset lambda = 25.0,logistic_regression,0.6674 ± 0.0018,0.6747 ± 0.0043,0.6710 ± 0.0027,0.6363 ± 0.0022,0.6363 ± 0.0022,0.1344 ± 0.0156,0.7898 ± 0.0205,0.1753 ± 0.0167
HC with fairness constraints and double the size of original dataset lambda = 25.0,random_forest,0.6188 ± 0.0040,0.6789 ± 0.0235,0.6473 ± 0.0115,0.5894 ± 0.0057,0.5894 ± 0.0057,0.0711 ± 0.0213,0.8901 ± 0.0315,0.1053 ± 0.0371
HC with fairness constraints and double the size of original dataset lambda = 25.0,xgboost,0.6574 ± 0.0040,0.7161 ± 0.0209,0.6853 ± 0.0105,0.6349 ± 0.0063,0.6349 ± 0.0063,0.1125 ± 0.0320,0.8320 ± 0.0450,0.1497 ± 0.0270
HC with fairness constraints and double the size of original dataset lambda = 25.0,mlp,0.6102 ± 0.0113,0.7116 ± 0.0641,0.6551 ± 0.0232,0.5828 ± 0.0069,0.5828 ± 0.0069,0.0785 ± 0.0352,0.8842 ± 0.0548,0.1237 ± 0.0294
HC with fairness constraints and equal number of class 1 and class 0 lambda = 25.0,logistic_regression,0.6709 ± 0.0014,0.6601 ± 0.0035,0.6655 ± 0.0019,0.6365 ± 0.0015,0.6365 ± 0.0015,0.1171 ± 0.0143,0.8091 ± 0.0195,0.1354 ± 0.0213
HC with fairness constraints and equal number of class 1 and class 0 lambda = 25.0,random_forest,0.6406 ± 0.0084,0.6628 ± 0.0200,0.6513 ± 0.0112,0.6090 ± 0.0092,0.6090 ± 0.0092,0.0410 ± 0.0210,0.9309 ± 0.0347,0.0575 ± 0.0052
HC with fairness constraints and equal number of class 1 and class 0 lambda = 25.0,xgboost,0.6505 ± 0.0079,0.6548 ± 0.0134,0.6525 ± 0.0061,0.6169 ± 0.0067,0.6169 ± 0.0067,0.0951 ± 0.0066,0.8442 ± 0.0100,0.1314 ± 0.0139
HC with fairness constraints and equal number of class 1 and class 0 lambda = 25.0,mlp,0.6273 ± 0.0061,0.6577 ± 0.0467,0.6413 ± 0.0211,0.5951 ± 0.0076,0.5951 ± 0.0076,0.0593 ± 0.0394,0.9032 ± 0.0598,0.0883 ± 0.0180
HC with fairness constraints and equal number of protected attribute lambda = 25.0,logistic_regression,0.6709 ± 0.0014,0.6601 ± 0.0035,0.6655 ± 0.0019,0.6365 ± 0.0015,0.6365 ± 0.0015,0.1171 ± 0.0143,0.8091 ± 0.0195,0.1354 ± 0.0213
HC with fairness constraints and equal number of protected attribute lambda = 25.0,random_forest,0.6406 ± 0.0084,0.6628 ± 0.0200,0.6513 ± 0.0112,0.6090 ± 0.0092,0.6090 ± 0.0092,0.0410 ± 0.0210,0.9309 ± 0.0347,0.0575 ± 0.0052
HC with fairness constraints and equal number of protected attribute lambda = 25.0,xgboost,0.6505 ± 0.0079,0.6548 ± 0.0134,0.6525 ± 0.0061,0.6169 ± 0.0067,0.6169 ± 0.0067,0.0951 ± 0.0066,0.8442 ± 0.0100,0.1314 ± 0.0139
HC with fairness constraints and equal number of protected attribute lambda = 25.0,mlp,0.6313 ± 0.0064,0.6536 ± 0.0594,0.6410 ± 0.0305,0.5987 ± 0.0127,0.5987 ± 0.0127,0.0633 ± 0.0401,0.8936 ± 0.0697,0.0810 ± 0.0353
HC with fairness constraints and same size as original dataset lambda = 26.0,logistic_regression,0.6578 ± 0.0051,0.7530 ± 0.0306,0.7018 ± 0.0120,0.6421 ± 0.0049,0.6421 ± 0.0049,0.1388 ± 0.0302,0.8051 ± 0.0445,0.1975 ± 0.0309
HC with fairness constraints and same size as original dataset lambda = 26.0,random_forest,0.6309 ± 0.0075,0.7009 ± 0.0128,0.6639 ± 0.0043,0.6051 ± 0.0064,0.6051 ± 0.0064,0.0756 ± 0.0285,0.8850 ± 0.0424,0.1100 ± 0.0233
HC with fairness constraints and same size as original dataset lambda = 26.0,xgboost,0.6393 ± 0.0034,0.7244 ± 0.0152,0.6791 ± 0.0048,0.6177 ± 0.0012,0.6177 ± 0.0012,0.1021 ± 0.0268,0.8509 ± 0.0387,0.1482 ± 0.0391
HC with fairness constraints and same size as original dataset lambda = 26.0,mlp,0.6089 ± 0.0135,0.7485 ± 0.0648,0.6696 ± 0.0184,0.5851 ± 0.0117,0.5851 ± 0.0117,0.0503 ± 0.0355,0.9316 ± 0.0466,0.1046 ± 0.0393
HC with fairness constraints and double the size of original dataset lambda = 26.0,logistic_regression,0.6516 ± 0.0021,0.7842 ± 0.0109,0.7117 ± 0.0043,0.6414 ± 0.0025,0.6414 ± 0.0025,0.0770 ± 0.0150,0.8912 ± 0.0196,0.1253 ± 0.0146
HC with fairness constraints and double the size of original dataset lambda = 26.0,random_forest,0.6236 ± 0.0041,0.7274 ± 0.0164,0.6714 ± 0.0075,0.6012 ± 0.0053,0.6012 ± 0.0053,0.0219 ± 0.0198,0.9662 ± 0.0304,0.1024 ± 0.0229
HC with fairness constraints and double the size of original dataset lambda = 26.0,xgboost,0.6406 ± 0.0022,0.7491 ± 0.0178,0.6905 ± 0.0075,0.6233 ± 0.0037,0.6233 ± 0.0037,0.0340 ± 0.0217,0.9489 ± 0.0323,0.1079 ± 0.0114
HC with fairness constraints and double the size of original dataset lambda = 26.0,mlp,0.6283 ± 0.0089,0.7071 ± 0.0464,0.6644 ± 0.0172,0.6029 ± 0.0058,0.6029 ± 0.0058,0.0378 ± 0.0221,0.9411 ± 0.0330,0.0844 ± 0.0343
HC with fairness constraints and equal number of class 1 and class 0 lambda = 26.0,logistic_regression,0.6600 ± 0.0070,0.7229 ± 0.0289,0.6896 ± 0.0100,0.6385 ± 0.0029,0.6385 ± 0.0029,0.0388 ± 0.0406,0.9382 ± 0.0626,0.0982 ± 0.0253
HC with fairness constraints and equal number of class 1 and class 0 lambda = 26.0,random_forest,0.6207 ± 0.0043,0.6289 ± 0.0196,0.6246 ± 0.0113,0.5847 ± 0.0064,0.5847 ± 0.0064,0.0587 ± 0.0251,0.8988 ± 0.0399,0.1286 ± 0.0252
HC with fairness constraints and equal number of class 1 and class 0 lambda = 26.0,xgboost,0.6391 ± 0.0052,0.6869 ± 0.0134,0.6621 ± 0.0081,0.6116 ± 0.0067,0.6116 ± 0.0067,0.0292 ± 0.0154,0.9516 ± 0.0252,0.0953 ± 0.0298
HC with fairness constraints and equal number of class 1 and class 0 lambda = 26.0,mlp,0.6174 ± 0.0085,0.6604 ± 0.0226,0.6379 ± 0.0083,0.5852 ± 0.0075,0.5852 ± 0.0075,0.0606 ± 0.0458,0.9033 ± 0.0703,0.1299 ± 0.0533
HC with fairness constraints and equal number of protected attribute lambda = 26.0,logistic_regression,0.6600 ± 0.0070,0.7229 ± 0.0289,0.6896 ± 0.0100,0.6385 ± 0.0029,0.6385 ± 0.0029,0.0388 ± 0.0406,0.9382 ± 0.0626,0.0982 ± 0.0253
HC with fairness constraints and equal number of protected attribute lambda = 26.0,random_forest,0.6207 ± 0.0043,0.6289 ± 0.0196,0.6246 ± 0.0113,0.5847 ± 0.0064,0.5847 ± 0.0064,0.0587 ± 0.0251,0.8988 ± 0.0399,0.1286 ± 0.0252
HC with fairness constraints and equal number of protected attribute lambda = 26.0,xgboost,0.6391 ± 0.0052,0.6869 ± 0.0134,0.6621 ± 0.0081,0.6116 ± 0.0067,0.6116 ± 0.0067,0.0292 ± 0.0154,0.9516 ± 0.0252,0.0953 ± 0.0298
HC with fairness constraints and equal number of protected attribute lambda = 26.0,mlp,0.6213 ± 0.0111,0.6292 ± 0.0233,0.6248 ± 0.0088,0.5849 ± 0.0089,0.5849 ± 0.0089,0.0453 ± 0.0276,0.9198 ± 0.0487,0.1204 ± 0.0280
HC with fairness constraints and same size as original dataset lambda = 27.0,logistic_regression,0.5668 ± 0.0053,0.8307 ± 0.0173,0.6738 ± 0.0082,0.5358 ± 0.0086,0.5358 ± 0.0086,0.1591 ± 0.0535,0.8142 ± 0.0611,0.2692 ± 0.0489
HC with fairness constraints and same size as original dataset lambda = 27.0,random_forest,0.5561 ± 0.0040,0.6702 ± 0.0172,0.6077 ± 0.0062,0.5152 ± 0.0050,0.5152 ± 0.0050,0.0559 ± 0.0227,0.9173 ± 0.0342,0.0771 ± 0.0119
HC with fairness constraints and same size as original dataset lambda = 27.0,xgboost,0.5628 ± 0.0087,0.7312 ± 0.0327,0.6359 ± 0.0174,0.5263 ± 0.0126,0.5263 ± 0.0126,0.0385 ± 0.0294,0.9475 ± 0.0395,0.0762 ± 0.0431
HC with fairness constraints and same size as original dataset lambda = 27.0,mlp,0.5576 ± 0.0054,0.6949 ± 0.1070,0.6153 ± 0.0464,0.5185 ± 0.0082,0.5185 ± 0.0082,0.0687 ± 0.0501,0.8978 ± 0.0859,0.0881 ± 0.0550
HC with fairness constraints and double the size of original dataset lambda = 27.0,logistic_regression,0.5726 ± 0.0026,0.8726 ± 0.0237,0.6913 ± 0.0059,0.5468 ± 0.0030,0.5468 ± 0.0030,0.1481 ± 0.0323,0.8317 ± 0.0377,0.1808 ± 0.0248
HC with fairness constraints and double the size of original dataset lambda = 27.0,random_forest,0.5906 ± 0.0067,0.6643 ± 0.0425,0.6249 ± 0.0222,0.5572 ± 0.0118,0.5572 ± 0.0118,0.0284 ± 0.0196,0.9552 ± 0.0299,0.0664 ± 0.0401
HC with fairness constraints and double the size of original dataset lambda = 27.0,xgboost,0.6037 ± 0.0089,0.7473 ± 0.0235,0.6678 ± 0.0137,0.5804 ± 0.0129,0.5804 ± 0.0129,0.0558 ± 0.0196,0.9212 ± 0.0276,0.0737 ± 0.0343
HC with fairness constraints and double the size of original dataset lambda = 27.0,mlp,0.5980 ± 0.0144,0.6658 ± 0.0150,0.6299 ± 0.0103,0.5649 ± 0.0160,0.5649 ± 0.0160,0.0838 ± 0.0623,0.8787 ± 0.0838,0.0896 ± 0.0567
HC with fairness constraints and equal number of class 1 and class 0 lambda = 27.0,logistic_regression,0.5665 ± 0.0082,0.5113 ± 0.0200,0.5373 ± 0.0121,0.5217 ± 0.0081,0.5217 ± 0.0081,0.0589 ± 0.0274,0.8874 ± 0.0511,0.1089 ± 0.0420
HC with fairness constraints and equal number of class 1 and class 0 lambda = 27.0,random_forest,0.5717 ± 0.0125,0.5110 ± 0.0156,0.5396 ± 0.0135,0.5267 ± 0.0124,0.5267 ± 0.0124,0.1460 ± 0.0446,0.7520 ± 0.0633,0.1796 ± 0.0550
HC with fairness constraints and equal number of class 1 and class 0 lambda = 27.0,xgboost,0.5841 ± 0.0112,0.5298 ± 0.0177,0.5554 ± 0.0104,0.5391 ± 0.0103,0.5391 ± 0.0103,0.2624 ± 0.0103,0.6051 ± 0.0227,0.2921 ± 0.0186
HC with fairness constraints and equal number of class 1 and class 0 lambda = 27.0,mlp,0.5769 ± 0.0112,0.4655 ± 0.0923,0.5105 ± 0.0528,0.5285 ± 0.0098,0.5285 ± 0.0098,0.1199 ± 0.0367,0.7680 ± 0.0603,0.1417 ± 0.0460
HC with fairness constraints and equal number of protected attribute lambda = 27.0,logistic_regression,0.5665 ± 0.0082,0.5113 ± 0.0200,0.5373 ± 0.0121,0.5217 ± 0.0081,0.5217 ± 0.0081,0.0589 ± 0.0274,0.8874 ± 0.0511,0.1089 ± 0.0420
HC with fairness constraints and equal number of protected attribute lambda = 27.0,random_forest,0.5717 ± 0.0125,0.5110 ± 0.0156,0.5396 ± 0.0135,0.5267 ± 0.0124,0.5267 ± 0.0124,0.1460 ± 0.0446,0.7520 ± 0.0633,0.1796 ± 0.0550
HC with fairness constraints and equal number of protected attribute lambda = 27.0,xgboost,0.5841 ± 0.0112,0.5298 ± 0.0177,0.5554 ± 0.0104,0.5391 ± 0.0103,0.5391 ± 0.0103,0.2624 ± 0.0103,0.6051 ± 0.0227,0.2921 ± 0.0186
HC with fairness constraints and equal number of protected attribute lambda = 27.0,mlp,0.5665 ± 0.0100,0.5693 ± 0.0482,0.5669 ± 0.0244,0.5240 ± 0.0109,0.5240 ± 0.0109,0.1870 ± 0.0244,0.7197 ± 0.0394,0.2043 ± 0.0291
HC with fairness constraints and same size as original dataset lambda = 28.0,logistic_regression,0.5802 ± 0.0049,0.8667 ± 0.0232,0.6949 ± 0.0075,0.5582 ± 0.0074,0.5582 ± 0.0074,0.2618 ± 0.0331,0.7339 ± 0.0342,0.3037 ± 0.0296
HC with fairness constraints and same size as original dataset lambda = 28.0,random_forest,0.5847 ± 0.0007,0.6762 ± 0.0333,0.6267 ± 0.0145,0.5509 ± 0.0022,0.5509 ± 0.0022,0.1548 ± 0.0558,0.7896 ± 0.0715,0.2047 ± 0.0468
HC with fairness constraints and same size as original dataset lambda = 28.0,xgboost,0.5883 ± 0.0050,0.7640 ± 0.0238,0.6645 ± 0.0088,0.5622 ± 0.0065,0.5622 ± 0.0065,0.1559 ± 0.0308,0.8071 ± 0.0389,0.2035 ± 0.0237
HC with fairness constraints and same size as original dataset lambda = 28.0,mlp,0.5720 ± 0.0094,0.6744 ± 0.0652,0.6177 ± 0.0299,0.5358 ± 0.0136,0.5358 ± 0.0136,0.1415 ± 0.0791,0.8061 ± 0.1079,0.1875 ± 0.0581
HC with fairness constraints and double the size of original dataset lambda = 28.0,logistic_regression,0.5808 ± 0.0050,0.7339 ± 0.0215,0.6483 ± 0.0091,0.5502 ± 0.0067,0.5502 ± 0.0067,0.4665 ± 0.0306,0.5298 ± 0.0313,0.4940 ± 0.0279
HC with fairness constraints and double the size of original dataset lambda = 28.0,random_forest,0.5904 ± 0.0092,0.6759 ± 0.0158,0.6303 ± 0.0117,0.5577 ± 0.0120,0.5577 ± 0.0120,0.2390 ± 0.0412,0.6945 ± 0.0451,0.2958 ± 0.0708
HC with fairness constraints and double the size of original dataset lambda = 28.0,xgboost,0.5978 ± 0.0106,0.7506 ± 0.0331,0.6653 ± 0.0177,0.5735 ± 0.0153,0.5735 ± 0.0153,0.3128 ± 0.0340,0.6475 ± 0.0377,0.3685 ± 0.0295
HC with fairness constraints and double the size of original dataset lambda = 28.0,mlp,0.5890 ± 0.0186,0.6342 ± 0.0577,0.6086 ± 0.0188,0.5504 ± 0.0143,0.5504 ± 0.0143,0.2335 ± 0.0844,0.6863 ± 0.1060,0.2527 ± 0.0876
HC with fairness constraints and equal number of class 1 and class 0 lambda = 28.0,logistic_regression,0.6143 ± 0.0126,0.5202 ± 0.0226,0.5630 ± 0.0134,0.5646 ± 0.0101,0.5646 ± 0.0101,0.7274 ± 0.0498,0.2228 ± 0.0405,0.7378 ± 0.0523
HC with fairness constraints and equal number of class 1 and class 0 lambda = 28.0,random_forest,0.5711 ± 0.0102,0.5226 ± 0.0139,0.5457 ± 0.0105,0.5266 ± 0.0104,0.5266 ± 0.0104,0.2588 ± 0.0272,0.6126 ± 0.0349,0.2763 ± 0.0253
HC with fairness constraints and equal number of class 1 and class 0 lambda = 28.0,xgboost,0.5809 ± 0.0058,0.4878 ± 0.0277,0.5299 ± 0.0176,0.5336 ± 0.0061,0.5336 ± 0.0061,0.4455 ± 0.0182,0.4035 ± 0.0332,0.4633 ± 0.0164
HC with fairness constraints and equal number of class 1 and class 0 lambda = 28.0,mlp,0.5578 ± 0.0208,0.4530 ± 0.0805,0.4944 ± 0.0453,0.5085 ± 0.0164,0.5085 ± 0.0164,0.2211 ± 0.0414,0.6140 ± 0.1062,0.2446 ± 0.0352
HC with fairness constraints and equal number of protected attribute lambda = 28.0,logistic_regression,0.6143 ± 0.0126,0.5202 ± 0.0226,0.5630 ± 0.0134,0.5646 ± 0.0101,0.5646 ± 0.0101,0.7274 ± 0.0498,0.2228 ± 0.0405,0.7378 ± 0.0523
HC with fairness constraints and equal number of protected attribute lambda = 28.0,random_forest,0.5711 ± 0.0102,0.5226 ± 0.0139,0.5457 ± 0.0105,0.5266 ± 0.0104,0.5266 ± 0.0104,0.2588 ± 0.0272,0.6126 ± 0.0349,0.2763 ± 0.0253
HC with fairness constraints and equal number of protected attribute lambda = 28.0,xgboost,0.5809 ± 0.0058,0.4878 ± 0.0277,0.5299 ± 0.0176,0.5336 ± 0.0061,0.5336 ± 0.0061,0.4455 ± 0.0182,0.4035 ± 0.0332,0.4633 ± 0.0164
HC with fairness constraints and equal number of protected attribute lambda = 28.0,mlp,0.5527 ± 0.0064,0.5244 ± 0.0482,0.5369 ± 0.0239,0.5081 ± 0.0064,0.5081 ± 0.0064,0.2352 ± 0.1031,0.6541 ± 0.1381,0.2442 ± 0.0976
HC with fairness constraints and same size as original dataset lambda = 29.0,logistic_regression,0.6462 ± 0.0016,0.7339 ± 0.0045,0.6873 ± 0.0021,0.6268 ± 0.0018,0.6268 ± 0.0018,0.0994 ± 0.0134,0.8548 ± 0.0170,0.1468 ± 0.0168
HC with fairness constraints and same size as original dataset lambda = 29.0,random_forest,0.6392 ± 0.0098,0.7018 ± 0.0107,0.6689 ± 0.0055,0.6139 ± 0.0094,0.6139 ± 0.0094,0.0951 ± 0.0246,0.8567 ± 0.0334,0.0965 ± 0.0277
HC with fairness constraints and same size as original dataset lambda = 29.0,xgboost,0.6504 ± 0.0088,0.7045 ± 0.0170,0.6763 ± 0.0112,0.6259 ± 0.0109,0.6259 ± 0.0109,0.1135 ± 0.0193,0.8298 ± 0.0225,0.1320 ± 0.0244
HC with fairness constraints and same size as original dataset lambda = 29.0,mlp,0.6182 ± 0.0080,0.7560 ± 0.0454,0.6795 ± 0.0185,0.5986 ± 0.0104,0.5986 ± 0.0104,0.0711 ± 0.0310,0.8991 ± 0.0457,0.0918 ± 0.0256
HC with fairness constraints and double the size of original dataset lambda = 29.0,logistic_regression,0.6546 ± 0.0024,0.7182 ± 0.0074,0.6849 ± 0.0043,0.6326 ± 0.0034,0.6326 ± 0.0034,0.1111 ± 0.0123,0.8344 ± 0.0164,0.1655 ± 0.0191
HC with fairness constraints and double the size of original dataset lambda = 29.0,random_forest,0.6540 ± 0.0081,0.7045 ± 0.0252,0.6779 ± 0.0090,0.6291 ± 0.0054,0.6291 ± 0.0054,0.0887 ± 0.0288,0.8630 ± 0.0426,0.1310 ± 0.0267
HC with fairness constraints and double the size of original dataset lambda = 29.0,xgboost,0.6599 ± 0.0043,0.6955 ± 0.0165,0.6771 ± 0.0072,0.6334 ± 0.0040,0.6334 ± 0.0040,0.1148 ± 0.0249,0.8235 ± 0.0362,0.1559 ± 0.0233
