sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,logistic_regression,0.7916 ± 0.0031,0.9602 ± 0.0000,0.8678 ± 0.0019,0.9683 ± 0.0002,0.9683 ± 0.0002,0.0020 ± 0.0018,0.9817 ± 0.0166,0.0522 ± 0.0028
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,random_forest,0.7312 ± 0.0098,0.9608 ± 0.0011,0.8304 ± 0.0060,0.9638 ± 0.0006,0.9638 ± 0.0006,0.0364 ± 0.0035,0.7469 ± 0.0186,0.0896 ± 0.0037
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,xgboost,0.7470 ± 0.0086,0.9608 ± 0.0011,0.8405 ± 0.0054,0.9651 ± 0.0008,0.9651 ± 0.0008,0.0298 ± 0.0040,0.7805 ± 0.0233,0.0829 ± 0.0042
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.2,mlp,0.7051 ± 0.0333,0.9642 ± 0.0080,0.8139 ± 0.0204,0.9630 ± 0.0026,0.9630 ± 0.0026,0.0508 ± 0.0188,0.6935 ± 0.0787,0.1048 ± 0.0196
HC with fairness constraints and equal number of protected attribute lambda = 1.2,logistic_regression,0.7916 ± 0.0031,0.9602 ± 0.0000,0.8678 ± 0.0019,0.9683 ± 0.0002,0.9683 ± 0.0002,0.0020 ± 0.0018,0.9817 ± 0.0166,0.0522 ± 0.0028
HC with fairness constraints and equal number of protected attribute lambda = 1.2,random_forest,0.7312 ± 0.0098,0.9608 ± 0.0011,0.8304 ± 0.0060,0.9638 ± 0.0006,0.9638 ± 0.0006,0.0364 ± 0.0035,0.7469 ± 0.0186,0.0896 ± 0.0037
HC with fairness constraints and equal number of protected attribute lambda = 1.2,xgboost,0.7470 ± 0.0086,0.9608 ± 0.0011,0.8405 ± 0.0054,0.9651 ± 0.0008,0.9651 ± 0.0008,0.0298 ± 0.0040,0.7805 ± 0.0233,0.0829 ± 0.0042
HC with fairness constraints and equal number of protected attribute lambda = 1.2,mlp,0.6906 ± 0.0535,0.9648 ± 0.0091,0.8034 ± 0.0351,0.9616 ± 0.0020,0.9616 ± 0.0020,0.0590 ± 0.0162,0.6602 ± 0.0508,0.1134 ± 0.0172
HC with fairness constraints and same size as original dataset lambda = 1.3,logistic_regression,0.8989 ± 0.0015,0.9602 ± 0.0000,0.9286 ± 0.0008,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0448 ± 0.0010,0.5453 ± 0.0101,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.3,random_forest,0.8972 ± 0.0082,0.9062 ± 0.0070,0.9016 ± 0.0042,0.9482 ± 0.0033,0.9482 ± 0.0033,0.0277 ± 0.0051,0.6957 ± 0.0534,0.0531 ± 0.0162
HC with fairness constraints and same size as original dataset lambda = 1.3,xgboost,0.8902 ± 0.0064,0.9023 ± 0.0046,0.8962 ± 0.0026,0.9459 ± 0.0021,0.9459 ± 0.0021,0.0232 ± 0.0051,0.7441 ± 0.0553,0.0393 ± 0.0169
HC with fairness constraints and same size as original dataset lambda = 1.3,mlp,0.8734 ± 0.0180,0.9057 ± 0.0066,0.8891 ± 0.0085,0.9467 ± 0.0030,0.9467 ± 0.0030,0.0150 ± 0.0074,0.8350 ± 0.0829,0.0420 ± 0.0139
HC with fairness constraints and double the size of original dataset lambda = 1.3,logistic_regression,0.8975 ± 0.0012,0.9602 ± 0.0000,0.9278 ± 0.0006,0.9750 ± 0.0001,0.9750 ± 0.0001,0.0438 ± 0.0008,0.5549 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.3,random_forest,0.9017 ± 0.0027,0.9170 ± 0.0089,0.9093 ± 0.0051,0.9538 ± 0.0045,0.9538 ± 0.0045,0.0314 ± 0.0027,0.6593 ± 0.0260,0.0721 ± 0.0277
HC with fairness constraints and double the size of original dataset lambda = 1.3,xgboost,0.9109 ± 0.0053,0.9170 ± 0.0091,0.9139 ± 0.0039,0.9543 ± 0.0044,0.9543 ± 0.0044,0.0333 ± 0.0020,0.6356 ± 0.0198,0.0721 ± 0.0278
HC with fairness constraints and double the size of original dataset lambda = 1.3,mlp,0.9013 ± 0.0064,0.9176 ± 0.0090,0.9093 ± 0.0054,0.9541 ± 0.0045,0.9541 ± 0.0045,0.0315 ± 0.0032,0.6583 ± 0.0329,0.0715 ± 0.0264
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,logistic_regression,0.7760 ± 0.0060,0.9602 ± 0.0000,0.8583 ± 0.0037,0.9671 ± 0.0005,0.9671 ± 0.0005,0.0101 ± 0.0034,0.9123 ± 0.0277,0.0624 ± 0.0036
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,random_forest,0.6814 ± 0.0152,0.9716 ± 0.0105,0.8009 ± 0.0090,0.9645 ± 0.0043,0.9645 ± 0.0043,0.0317 ± 0.0131,0.7933 ± 0.0793,0.0857 ± 0.0132
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,xgboost,0.7228 ± 0.0152,0.9699 ± 0.0103,0.8281 ± 0.0079,0.9675 ± 0.0041,0.9675 ± 0.0041,0.0156 ± 0.0049,0.8771 ± 0.0297,0.0603 ± 0.0152
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.3,mlp,0.7011 ± 0.0293,0.9699 ± 0.0103,0.8134 ± 0.0175,0.9654 ± 0.0033,0.9654 ± 0.0033,0.0285 ± 0.0243,0.8190 ± 0.1095,0.0778 ± 0.0300
HC with fairness constraints and equal number of protected attribute lambda = 1.3,logistic_regression,0.7760 ± 0.0060,0.9602 ± 0.0000,0.8583 ± 0.0037,0.9671 ± 0.0005,0.9671 ± 0.0005,0.0101 ± 0.0034,0.9123 ± 0.0277,0.0624 ± 0.0036
HC with fairness constraints and equal number of protected attribute lambda = 1.3,random_forest,0.6814 ± 0.0152,0.9716 ± 0.0105,0.8009 ± 0.0090,0.9645 ± 0.0043,0.9645 ± 0.0043,0.0317 ± 0.0131,0.7933 ± 0.0793,0.0857 ± 0.0132
HC with fairness constraints and equal number of protected attribute lambda = 1.3,xgboost,0.7228 ± 0.0152,0.9699 ± 0.0103,0.8281 ± 0.0079,0.9675 ± 0.0041,0.9675 ± 0.0041,0.0156 ± 0.0049,0.8771 ± 0.0297,0.0603 ± 0.0152
HC with fairness constraints and equal number of protected attribute lambda = 1.3,mlp,0.6949 ± 0.0214,0.9659 ± 0.0095,0.8080 ± 0.0132,0.9630 ± 0.0040,0.9630 ± 0.0040,0.0255 ± 0.0057,0.8194 ± 0.0374,0.0799 ± 0.0055
HC with fairness constraints and same size as original dataset lambda = 1.4,logistic_regression,0.8956 ± 0.0044,0.9602 ± 0.0000,0.9268 ± 0.0024,0.9749 ± 0.0002,0.9749 ± 0.0002,0.0426 ± 0.0029,0.5677 ± 0.0297,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.4,random_forest,0.8761 ± 0.0075,0.9511 ± 0.0033,0.9120 ± 0.0036,0.9693 ± 0.0015,0.9693 ± 0.0015,0.0406 ± 0.0055,0.5914 ± 0.0551,0.0379 ± 0.0285
HC with fairness constraints and same size as original dataset lambda = 1.4,xgboost,0.8823 ± 0.0062,0.9534 ± 0.0029,0.9164 ± 0.0033,0.9707 ± 0.0014,0.9707 ± 0.0014,0.0419 ± 0.0052,0.5770 ± 0.0518,0.0250 ± 0.0263
HC with fairness constraints and same size as original dataset lambda = 1.4,mlp,0.8644 ± 0.0117,0.9443 ± 0.0099,0.9025 ± 0.0074,0.9652 ± 0.0049,0.9652 ± 0.0049,0.0372 ± 0.0077,0.6257 ± 0.0786,0.0890 ± 0.0909
HC with fairness constraints and double the size of original dataset lambda = 1.4,logistic_regression,0.8839 ± 0.0019,0.9602 ± 0.0000,0.9205 ± 0.0010,0.9742 ± 0.0001,0.9742 ± 0.0001,0.0365 ± 0.0013,0.6301 ± 0.0128,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.4,random_forest,0.8900 ± 0.0070,0.9557 ± 0.0023,0.9217 ± 0.0034,0.9723 ± 0.0010,0.9723 ± 0.0010,0.0431 ± 0.0038,0.5631 ± 0.0395,0.0168 ± 0.0149
HC with fairness constraints and double the size of original dataset lambda = 1.4,xgboost,0.8991 ± 0.0030,0.9568 ± 0.0021,0.9271 ± 0.0011,0.9734 ± 0.0009,0.9734 ± 0.0009,0.0463 ± 0.0024,0.5299 ± 0.0247,0.0124 ± 0.0152
HC with fairness constraints and double the size of original dataset lambda = 1.4,mlp,0.8887 ± 0.0078,0.9563 ± 0.0029,0.9212 ± 0.0044,0.9725 ± 0.0015,0.9725 ± 0.0015,0.0430 ± 0.0046,0.5654 ± 0.0464,0.0151 ± 0.0142
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,logistic_regression,0.6763 ± 0.0033,0.9602 ± 0.0000,0.7936 ± 0.0023,0.9586 ± 0.0003,0.9586 ± 0.0003,0.0981 ± 0.0033,0.5209 ± 0.0086,0.1539 ± 0.0034
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,random_forest,0.6430 ± 0.0194,0.9625 ± 0.0011,0.7708 ± 0.0136,0.9561 ± 0.0017,0.9561 ± 0.0017,0.0917 ± 0.0203,0.5607 ± 0.0557,0.1469 ± 0.0212
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,xgboost,0.6713 ± 0.0100,0.9614 ± 0.0014,0.7905 ± 0.0068,0.9586 ± 0.0011,0.9586 ± 0.0011,0.0662 ± 0.0094,0.6314 ± 0.0322,0.1204 ± 0.0099
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.4,mlp,0.6493 ± 0.0268,0.9619 ± 0.0014,0.7749 ± 0.0185,0.9565 ± 0.0022,0.9565 ± 0.0022,0.0800 ± 0.0257,0.5992 ± 0.0735,0.1347 ± 0.0269
HC with fairness constraints and equal number of protected attribute lambda = 1.4,logistic_regression,0.6763 ± 0.0033,0.9602 ± 0.0000,0.7936 ± 0.0023,0.9586 ± 0.0003,0.9586 ± 0.0003,0.0981 ± 0.0033,0.5209 ± 0.0086,0.1539 ± 0.0034
HC with fairness constraints and equal number of protected attribute lambda = 1.4,random_forest,0.6430 ± 0.0194,0.9625 ± 0.0011,0.7708 ± 0.0136,0.9561 ± 0.0017,0.9561 ± 0.0017,0.0917 ± 0.0203,0.5607 ± 0.0557,0.1469 ± 0.0212
HC with fairness constraints and equal number of protected attribute lambda = 1.4,xgboost,0.6713 ± 0.0100,0.9614 ± 0.0014,0.7905 ± 0.0068,0.9586 ± 0.0011,0.9586 ± 0.0011,0.0662 ± 0.0094,0.6314 ± 0.0322,0.1204 ± 0.0099
HC with fairness constraints and equal number of protected attribute lambda = 1.4,mlp,0.6287 ± 0.0290,0.9625 ± 0.0011,0.7602 ± 0.0209,0.9544 ± 0.0030,0.9544 ± 0.0030,0.0899 ± 0.0241,0.5746 ± 0.0621,0.1449 ± 0.0250
HC with fairness constraints and same size as original dataset lambda = 1.5,logistic_regression,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4996 ± 0.0001,0.4996 ± 0.0001,0.0047 ± 0.0010,0.0000 ± 0.0000,0.0049 ± 0.0010
HC with fairness constraints and same size as original dataset lambda = 1.5,random_forest,0.8249 ± 0.0324,0.4443 ± 0.0364,0.5768 ± 0.0354,0.7177 ± 0.0183,0.7177 ± 0.0183,0.0065 ± 0.0050,0.8687 ± 0.0958,0.1073 ± 0.0376
HC with fairness constraints and same size as original dataset lambda = 1.5,xgboost,0.8921 ± 0.0209,0.4636 ± 0.0213,0.6095 ± 0.0150,0.7292 ± 0.0101,0.7292 ± 0.0101,0.0124 ± 0.0035,0.7311 ± 0.0837,0.0779 ± 0.0390
HC with fairness constraints and same size as original dataset lambda = 1.5,mlp,0.8177 ± 0.0484,0.4500 ± 0.0349,0.5801 ± 0.0384,0.7203 ± 0.0182,0.7203 ± 0.0182,0.0082 ± 0.0022,0.8393 ± 0.0390,0.1270 ± 0.0576
HC with fairness constraints and double the size of original dataset lambda = 1.5,logistic_regression,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4992 ± 0.0000,0.4992 ± 0.0000,0.0076 ± 0.0000,0.0365 ± 0.0000,0.0079 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.5,random_forest,0.8429 ± 0.0133,0.5449 ± 0.0436,0.6609 ± 0.0325,0.7677 ± 0.0215,0.7677 ± 0.0215,0.0034 ± 0.0038,0.9367 ± 0.0738,0.0619 ± 0.0286
HC with fairness constraints and double the size of original dataset lambda = 1.5,xgboost,0.8819 ± 0.0074,0.5750 ± 0.0533,0.6948 ± 0.0408,0.7839 ± 0.0264,0.7839 ± 0.0264,0.0141 ± 0.0044,0.7576 ± 0.0750,0.0797 ± 0.0343
HC with fairness constraints and double the size of original dataset lambda = 1.5,mlp,0.8397 ± 0.0303,0.5222 ± 0.0500,0.6428 ± 0.0427,0.7564 ± 0.0250,0.7564 ± 0.0250,0.0137 ± 0.0043,0.7759 ± 0.0763,0.1232 ± 0.0692
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,logistic_regression,0.2018 ± 0.0124,0.5102 ± 0.0261,0.2892 ± 0.0165,0.6603 ± 0.0152,0.6603 ± 0.0152,0.0740 ± 0.0123,0.7370 ± 0.0282,0.1268 ± 0.0182
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,random_forest,0.2420 ± 0.0059,0.7608 ± 0.0049,0.3672 ± 0.0069,0.7686 ± 0.0042,0.7686 ± 0.0042,0.0550 ± 0.0157,0.8278 ± 0.0384,0.0907 ± 0.0163
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,xgboost,0.2430 ± 0.0061,0.7557 ± 0.0051,0.3677 ± 0.0069,0.7673 ± 0.0038,0.7673 ± 0.0038,0.0450 ± 0.0192,0.8554 ± 0.0549,0.0798 ± 0.0196
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.5,mlp,0.2423 ± 0.0092,0.7574 ± 0.0053,0.3670 ± 0.0106,0.7674 ± 0.0058,0.7674 ± 0.0058,0.0662 ± 0.0309,0.8035 ± 0.0821,0.1022 ± 0.0322
HC with fairness constraints and equal number of protected attribute lambda = 1.5,logistic_regression,0.2018 ± 0.0124,0.5102 ± 0.0261,0.2892 ± 0.0165,0.6603 ± 0.0152,0.6603 ± 0.0152,0.0740 ± 0.0123,0.7370 ± 0.0282,0.1268 ± 0.0182
HC with fairness constraints and equal number of protected attribute lambda = 1.5,random_forest,0.2420 ± 0.0059,0.7608 ± 0.0049,0.3672 ± 0.0069,0.7686 ± 0.0042,0.7686 ± 0.0042,0.0550 ± 0.0157,0.8278 ± 0.0384,0.0907 ± 0.0163
HC with fairness constraints and equal number of protected attribute lambda = 1.5,xgboost,0.2430 ± 0.0061,0.7557 ± 0.0051,0.3677 ± 0.0069,0.7673 ± 0.0038,0.7673 ± 0.0038,0.0450 ± 0.0192,0.8554 ± 0.0549,0.0798 ± 0.0196
HC with fairness constraints and equal number of protected attribute lambda = 1.5,mlp,0.2348 ± 0.0102,0.7568 ± 0.0091,0.3583 ± 0.0122,0.7625 ± 0.0080,0.7625 ± 0.0080,0.0895 ± 0.0294,0.7508 ± 0.0610,0.1261 ± 0.0298
HC with fairness constraints and same size as original dataset lambda = 1.6,logistic_regression,0.8871 ± 0.0025,0.9602 ± 0.0000,0.9222 ± 0.0014,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0384 ± 0.0015,0.6112 ± 0.0156,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.6,random_forest,0.9256 ± 0.0043,0.9045 ± 0.0034,0.9149 ± 0.0026,0.9489 ± 0.0017,0.9489 ± 0.0017,0.0475 ± 0.0052,0.4789 ± 0.0529,0.0237 ± 0.0057
HC with fairness constraints and same size as original dataset lambda = 1.6,xgboost,0.9334 ± 0.0035,0.9074 ± 0.0046,0.9202 ± 0.0024,0.9507 ± 0.0022,0.9507 ± 0.0022,0.0507 ± 0.0024,0.4436 ± 0.0230,0.0467 ± 0.0194
HC with fairness constraints and same size as original dataset lambda = 1.6,mlp,0.9123 ± 0.0195,0.9142 ± 0.0110,0.9130 ± 0.0052,0.9529 ± 0.0045,0.9529 ± 0.0045,0.0460 ± 0.0093,0.5043 ± 0.1060,0.0509 ± 0.0248
HC with fairness constraints and double the size of original dataset lambda = 1.6,logistic_regression,0.8798 ± 0.0017,0.9602 ± 0.0000,0.9182 ± 0.0009,0.9740 ± 0.0001,0.9740 ± 0.0001,0.0341 ± 0.0002,0.6553 ± 0.0014,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.6,random_forest,0.8989 ± 0.0034,0.9347 ± 0.0018,0.9164 ± 0.0016,0.9624 ± 0.0008,0.9624 ± 0.0008,0.0393 ± 0.0022,0.5873 ± 0.0229,0.0169 ± 0.0039
HC with fairness constraints and double the size of original dataset lambda = 1.6,xgboost,0.9136 ± 0.0058,0.9369 ± 0.0042,0.9251 ± 0.0017,0.9643 ± 0.0018,0.9643 ± 0.0018,0.0479 ± 0.0014,0.4971 ± 0.0140,0.0213 ± 0.0056
HC with fairness constraints and double the size of original dataset lambda = 1.6,mlp,0.9015 ± 0.0105,0.9341 ± 0.0038,0.9174 ± 0.0052,0.9622 ± 0.0018,0.9622 ± 0.0018,0.0401 ± 0.0038,0.5783 ± 0.0410,0.0160 ± 0.0038
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.6,logistic_regression,0.6950 ± 0.0083,0.9602 ± 0.0000,0.8063 ± 0.0056,0.9603 ± 0.0008,0.9603 ± 0.0008,0.0994 ± 0.0074,0.5101 ± 0.0176,0.1554 ± 0.0077
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.6,random_forest,0.6832 ± 0.0165,0.9648 ± 0.0039,0.7998 ± 0.0102,0.9614 ± 0.0012,0.9614 ± 0.0012,0.0476 ± 0.0090,0.7067 ± 0.0455,0.1013 ± 0.0092
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.6,xgboost,0.7196 ± 0.0093,0.9602 ± 0.0000,0.8226 ± 0.0061,0.9626 ± 0.0008,0.9626 ± 0.0008,0.0343 ± 0.0093,0.7640 ± 0.0483,0.0872 ± 0.0097
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.6,mlp,0.6819 ± 0.0138,0.9670 ± 0.0073,0.7997 ± 0.0087,0.9623 ± 0.0032,0.9623 ± 0.0032,0.0433 ± 0.0115,0.7296 ± 0.0597,0.0970 ± 0.0115
HC with fairness constraints and equal number of protected attribute lambda = 1.6,logistic_regression,0.6950 ± 0.0083,0.9602 ± 0.0000,0.8063 ± 0.0056,0.9603 ± 0.0008,0.9603 ± 0.0008,0.0994 ± 0.0074,0.5101 ± 0.0176,0.1554 ± 0.0077
HC with fairness constraints and equal number of protected attribute lambda = 1.6,random_forest,0.6832 ± 0.0165,0.9648 ± 0.0039,0.7998 ± 0.0102,0.9614 ± 0.0012,0.9614 ± 0.0012,0.0476 ± 0.0090,0.7067 ± 0.0455,0.1013 ± 0.0092
HC with fairness constraints and equal number of protected attribute lambda = 1.6,xgboost,0.7196 ± 0.0093,0.9602 ± 0.0000,0.8226 ± 0.0061,0.9626 ± 0.0008,0.9626 ± 0.0008,0.0343 ± 0.0093,0.7640 ± 0.0483,0.0872 ± 0.0097
HC with fairness constraints and equal number of protected attribute lambda = 1.6,mlp,0.6348 ± 0.0493,0.9727 ± 0.0096,0.7668 ± 0.0328,0.9596 ± 0.0019,0.9596 ± 0.0019,0.0453 ± 0.0101,0.7351 ± 0.0482,0.0991 ± 0.0104
HC with fairness constraints and same size as original dataset lambda = 1.7,logistic_regression,0.8956 ± 0.0032,0.9602 ± 0.0000,0.9268 ± 0.0017,0.9749 ± 0.0002,0.9749 ± 0.0002,0.0426 ± 0.0021,0.5677 ± 0.0218,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.7,random_forest,0.8864 ± 0.0067,0.9528 ± 0.0014,0.9184 ± 0.0032,0.9707 ± 0.0005,0.9707 ± 0.0005,0.0332 ± 0.0033,0.6591 ± 0.0346,0.0508 ± 0.0015
HC with fairness constraints and same size as original dataset lambda = 1.7,xgboost,0.8922 ± 0.0085,0.9534 ± 0.0023,0.9217 ± 0.0046,0.9713 ± 0.0012,0.9713 ± 0.0012,0.0363 ± 0.0040,0.6271 ± 0.0420,0.0502 ± 0.0024
HC with fairness constraints and same size as original dataset lambda = 1.7,mlp,0.8796 ± 0.0114,0.9534 ± 0.0014,0.9150 ± 0.0056,0.9706 ± 0.0003,0.9706 ± 0.0003,0.0292 ± 0.0058,0.7000 ± 0.0603,0.0502 ± 0.0015
HC with fairness constraints and double the size of original dataset lambda = 1.7,logistic_regression,0.8942 ± 0.0000,0.9602 ± 0.0000,0.9260 ± 0.0000,0.9748 ± 0.0000,0.9748 ± 0.0000,0.0416 ± 0.0000,0.5774 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.7,random_forest,0.8880 ± 0.0029,0.9545 ± 0.0036,0.9200 ± 0.0007,0.9716 ± 0.0016,0.9716 ± 0.0016,0.0365 ± 0.0026,0.6266 ± 0.0272,0.0403 ± 0.0144
HC with fairness constraints and double the size of original dataset lambda = 1.7,xgboost,0.8994 ± 0.0051,0.9540 ± 0.0042,0.9258 ± 0.0014,0.9720 ± 0.0018,0.9720 ± 0.0018,0.0392 ± 0.0013,0.5960 ± 0.0143,0.0495 ± 0.0045
HC with fairness constraints and double the size of original dataset lambda = 1.7,mlp,0.8863 ± 0.0058,0.9523 ± 0.0063,0.9181 ± 0.0046,0.9704 ± 0.0032,0.9704 ± 0.0032,0.0338 ± 0.0026,0.6524 ± 0.0251,0.0442 ± 0.0124
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.7,logistic_regression,0.7535 ± 0.0051,0.9602 ± 0.0000,0.8444 ± 0.0032,0.9654 ± 0.0004,0.9654 ± 0.0004,0.0423 ± 0.0021,0.7088 ± 0.0101,0.0959 ± 0.0022
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.7,random_forest,0.6545 ± 0.0204,0.9585 ± 0.0023,0.7777 ± 0.0136,0.9555 ± 0.0012,0.9555 ± 0.0012,0.0856 ± 0.0172,0.5723 ± 0.0476,0.1403 ± 0.0180
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.7,xgboost,0.7040 ± 0.0185,0.9585 ± 0.0023,0.8116 ± 0.0115,0.9603 ± 0.0007,0.9603 ± 0.0007,0.0561 ± 0.0149,0.6640 ± 0.0591,0.1098 ± 0.0157
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.7,mlp,0.6496 ± 0.0143,0.9602 ± 0.0018,0.7748 ± 0.0100,0.9558 ± 0.0016,0.9558 ± 0.0016,0.0865 ± 0.0142,0.5703 ± 0.0419,0.1414 ± 0.0148
HC with fairness constraints and equal number of protected attribute lambda = 1.7,logistic_regression,0.7535 ± 0.0051,0.9602 ± 0.0000,0.8444 ± 0.0032,0.9654 ± 0.0004,0.9654 ± 0.0004,0.0423 ± 0.0021,0.7088 ± 0.0101,0.0959 ± 0.0022
HC with fairness constraints and equal number of protected attribute lambda = 1.7,random_forest,0.6545 ± 0.0204,0.9585 ± 0.0023,0.7777 ± 0.0136,0.9555 ± 0.0012,0.9555 ± 0.0012,0.0856 ± 0.0172,0.5723 ± 0.0476,0.1403 ± 0.0180
HC with fairness constraints and equal number of protected attribute lambda = 1.7,xgboost,0.7040 ± 0.0185,0.9585 ± 0.0023,0.8116 ± 0.0115,0.9603 ± 0.0007,0.9603 ± 0.0007,0.0561 ± 0.0149,0.6640 ± 0.0591,0.1098 ± 0.0157
HC with fairness constraints and equal number of protected attribute lambda = 1.7,mlp,0.6568 ± 0.0144,0.9585 ± 0.0023,0.7794 ± 0.0098,0.9557 ± 0.0013,0.9557 ± 0.0013,0.0873 ± 0.0141,0.5642 ± 0.0404,0.1421 ± 0.0149
HC with fairness constraints and same size as original dataset lambda = 1.8,logistic_regression,0.9033 ± 0.0010,0.9602 ± 0.0000,0.9309 ± 0.0005,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0476 ± 0.0006,0.5164 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.8,random_forest,0.8863 ± 0.0055,0.9125 ± 0.0055,0.8992 ± 0.0048,0.9508 ± 0.0029,0.9508 ± 0.0029,0.0356 ± 0.0034,0.6200 ± 0.0347,0.0684 ± 0.0257
HC with fairness constraints and same size as original dataset lambda = 1.8,xgboost,0.8900 ± 0.0041,0.9148 ± 0.0088,0.9022 ± 0.0058,0.9521 ± 0.0045,0.9521 ± 0.0045,0.0381 ± 0.0024,0.5949 ± 0.0241,0.0573 ± 0.0183
HC with fairness constraints and same size as original dataset lambda = 1.8,mlp,0.8815 ± 0.0095,0.9119 ± 0.0078,0.8964 ± 0.0051,0.9502 ± 0.0037,0.9502 ± 0.0037,0.0339 ± 0.0058,0.6387 ± 0.0624,0.0690 ± 0.0215
HC with fairness constraints and double the size of original dataset lambda = 1.8,logistic_regression,0.9013 ± 0.0000,0.9602 ± 0.0000,0.9298 ± 0.0000,0.9752 ± 0.0000,0.9752 ± 0.0000,0.0464 ± 0.0000,0.5293 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.8,random_forest,0.8865 ± 0.0043,0.9011 ± 0.0028,0.8938 ± 0.0035,0.9452 ± 0.0016,0.9452 ± 0.0016,0.0384 ± 0.0023,0.5872 ± 0.0243,0.0720 ± 0.0178
HC with fairness constraints and double the size of original dataset lambda = 1.8,xgboost,0.8948 ± 0.0041,0.9034 ± 0.0067,0.8991 ± 0.0040,0.9467 ± 0.0033,0.9467 ± 0.0033,0.0422 ± 0.0025,0.5465 ± 0.0269,0.0609 ± 0.0072
HC with fairness constraints and double the size of original dataset lambda = 1.8,mlp,0.8842 ± 0.0041,0.8977 ± 0.0070,0.8909 ± 0.0049,0.9433 ± 0.0036,0.9433 ± 0.0036,0.0379 ± 0.0025,0.5917 ± 0.0262,0.0670 ± 0.0075
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.8,logistic_regression,0.8118 ± 0.0070,0.9602 ± 0.0000,0.8798 ± 0.0041,0.9697 ± 0.0005,0.9697 ± 0.0005,0.0108 ± 0.0044,0.9037 ± 0.0351,0.0634 ± 0.0045
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.8,random_forest,0.6377 ± 0.0169,0.9614 ± 0.0014,0.7667 ± 0.0120,0.9550 ± 0.0017,0.9550 ± 0.0017,0.0626 ± 0.0120,0.6587 ± 0.0509,0.1162 ± 0.0127
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.8,xgboost,0.6711 ± 0.0109,0.9602 ± 0.0000,0.7900 ± 0.0076,0.9580 ± 0.0011,0.9580 ± 0.0011,0.0391 ± 0.0047,0.7496 ± 0.0267,0.0917 ± 0.0051
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.8,mlp,0.6340 ± 0.0331,0.9619 ± 0.0014,0.7638 ± 0.0247,0.9547 ± 0.0042,0.9547 ± 0.0042,0.0635 ± 0.0237,0.6652 ± 0.0755,0.1171 ± 0.0245
HC with fairness constraints and equal number of protected attribute lambda = 1.8,logistic_regression,0.8118 ± 0.0070,0.9602 ± 0.0000,0.8798 ± 0.0041,0.9697 ± 0.0005,0.9697 ± 0.0005,0.0108 ± 0.0044,0.9037 ± 0.0351,0.0634 ± 0.0045
